"","response.docs.lead_paragraph"
"7264","Despite her unwavering radicalism, there are almost as many Barbara Ehrenreichs as there are Barbara Ehrenreich books. There’s the muckraking undercover journalist (“Nickel and Dimed,” “Bait and Switch”); the participant-observer of the professional-managerial class (“Fear of Falling”); the autodidact pursuing her expansive curiosity by studying enormous subjects as varied as war and collective joy (“Blood Rites,” “Dancing in the Streets”). Ehrenreich has written about her experiences as a breast cancer patient (“Bright-Sided,” “Natural Causes”) and as a sullen teenager who was desperately searching for meaning (“Living With a Wild God”). In the early 1990s she even published “Kipper’s Game,” a novel of environmental degradation and suburban malaise."
"7265","This coming November, a great deal depends on whether white Democrats are becoming more liberal while white Republicans are simultaneously becoming more conservative."
"7266","Every month, streaming services in Australia add a new batch of movies and TV shows to its library. Here are our picks for May."
"7267","A police officer in the Northern California city of Rancho Cordova is being investigated by law enforcement authorities after he was recorded on a widely circulated video punching a 14-year-old boy while pinning him to the ground on Monday as he tried to detain him."
"7268","To the Editor:"
"7269","Granted, says the author of books including “The Hours” and “A Wild Swan,” it’s “about a sociopathic predatory pedophilic rapist.” But it’s also “a messed-up love story right out of ‘Beauty and the Beast.’”"
"7270","This briefing has ended. Read the latest developments in the coronavirus pandemic here."
"7271","Want this in your inbox each morning? Sign up here."
"7272","[This briefing has ended. For the latest updates on the coronavirus outbreak in the New York area, read Thursday’s live coverage.]"
"7273","On the night Andrew Yang dropped out of the Democratic presidential primary, he said the sorts of things politicians say after a disheartening defeat: “We are just getting started!” and “This is the beginning!”"
"7274","The coronavirus pandemic has transformed the ebb and flow of daily life in countless ways. Americans are comfort-eating,  cringe-watching and using their phones for actual  voice-calling. And, in New York City (and no doubt other places under stay-home orders), people are also staying under the covers a little bit longer."
"7275","This briefing is no longer updating. Read the latest developments in the coronavirus outbreak here."
"7276","A police officer in the Northern California city of Rancho Cordova is being investigated by law enforcement authorities after he was recorded on a widely circulated video punching a 14-year-old boy while pinning him to the ground on Monday as he tried to detain him."
"7277","To the Editor:"
"7278","A visual diary by the artist Olimpia Zagnoli."
"7279","A 1910 Craftsman in Portland, Ore.; a modern house in Charlotte, N.C.; and an Italianate Victorian in Savannah, Ga."
"7280","Every month, streaming services in Australia add a new batch of movies and TV shows to its library. Here are our picks for May."
"7281","A grass-roots charity auction on Twitter in support of comic-book retailers whose businesses have been disrupted by the coronavirus pandemic has netted more than $430,000."
"7282","Scott Perry will remain the general manager of the Knicks for at least another year after his contract was extended under Leon Rose, the recently hired team president, a source with knowledge of the matter said Wednesday. The extension was first reported by Newsday."
"7283","Good morning. I’ve been writing no-recipe recipes for a long time now — narrative prompts for freestyle cooking, encouragements to engage creatively with ingredients. I used to do it weekly. But now a no-recipe recipe is, like, every recipe we have. With everyone out of this pantry item or that one, recipes have become mere suggestions of where you might start. They’re like assembly charts from Ikea when you have only 60 percent of the fasteners. “I have tons of overripe bananas and no baking powder. And store is out,” a pal texted me over the weekend. “What can I substitute for baking powder in banana bread? You know it’s dark times when I’m baking, so help a girl out.”"
